Employee Name, Job Title, Base Pay, Overtime Pay, Other Pay, Benefits, Total Pay & Benefits, Year, Notes, Agency, Status
"**** ****","Gsr-Full Fee Rem",10624.0,0.0,156000.0,0.0,166624.0,2021,"None","University of California",
"Not provided","Gsr-Full Fee Rem",78869.0,0.0,14113.0,16049.0,109031.0,2019,"None","University of California",
"Not provided","GSR-FULL FEE REM",78128.0,0.0,0.0,28740.0,106868.0,2018,"None","University of California",
"Not provided","Gsr-Full Fee Rem",102169.0,0.0,0.0,2161.0,104330.0,2019,"None","University of California",
"Not provided","Gsr-No Rem",27035.0,0.0,73600.0,714.0,101349.0,2020,"None","University of California",
"Not provided","GSR-FULL FEE REM",85069.0,0.0,0.0,12942.0,98011.0,2015,"None","University of California",
"Not provided","GSR-FULL FEE REM",93493.0,0.0,0.0,0.0,93493.0,2017,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",62927.0,0.0,0.0,22308.0,85235.0,2017,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",77667.0,0.0,0.0,5248.0,82915.0,2019,"None","University of California",
"**** ****","Gsr-Full Fee Rem",70177.0,0.0,2750.0,9185.0,82112.0,2021,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",58271.0,0.0,0.0,22683.0,80954.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",59042.0,466.0,581.0,18351.0,78440.0,2018,"None","University of California",
"Not provided","Gsr-Tuit &amp; Fee Rem",64662.0,0.0,413.0,12769.0,77844.0,2019,"None","University of California",
"Not provided","GSR-TUIT &amp; FEE REM",43747.0,7926.0,8849.0,16868.0,77390.0,2016,"None","University of California",
"**** ****","Gsr-Partial Fee Rem",69155.0,0.0,2620.0,5464.0,77239.0,2021,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",70580.0,0.0,0.0,5646.0,76226.0,2023,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",49917.0,0.0,5953.0,19549.0,75419.0,2015,"None","University of California",
"Not provided","GSR-TUIT &amp; FEE REM-UCSD-GRP E",60014.0,0.0,3369.0,11778.0,75161.0,2014,"None","University of California",
"Not provided","GSR-TUIT &amp; FEE REM",55298.0,0.0,807.0,18608.0,74713.0,2016,"None","University of California",
"**** ****","Gsr-Full Fee Rem",39604.0,0.0,0.0,35065.0,74669.0,2021,"None","University of California",
"Not Provided","Gsr-No Rem",60015.0,0.0,7713.0,5493.0,73221.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",50105.0,0.0,9647.0,13195.0,72947.0,2019,"None","University of California",
"Not provided","Gsr-Full Fee Rem",62908.0,0.0,9691.0,0.0,72599.0,2020,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",63013.0,0.0,273.0,9214.0,72500.0,2017,"None","University of California",
"Not provided","GSR-FULL FEE REM",70564.0,0.0,1462.0,0.0,72026.0,2016,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",64250.0,0.0,0.0,7325.0,71575.0,2023,"None","University of California",
"Not provided","GSR-NO REM",52775.0,0.0,6101.0,12491.0,71367.0,2015,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",70580.0,0.0,0.0,0.0,70580.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",70580.0,0.0,0.0,0.0,70580.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",70141.0,0.0,0.0,0.0,70141.0,2023,"None","University of California",
"Not provided","Gsr-No Rem",41228.0,3685.0,4500.0,19658.0,69071.0,2019,"None","University of California",
"Not provided","Gsr-Tuit &amp; Fee Rem",65172.0,0.0,0.0,3673.0,68845.0,2019,"None","University of California",
"Not provided","GSR-FULL FEE REM",46072.0,0.0,11829.0,10875.0,68776.0,2018,"None","University of California",
"Not provided","Gsr-No Rem",51039.0,0.0,5115.0,12147.0,68301.0,2019,"None","University of California",
"Not provided","Gsr-Full Fee Rem",55501.0,0.0,0.0,12780.0,68281.0,2020,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",48038.0,0.0,7789.0,12199.0,68026.0,2020,"None","University of California",
"Not provided","GSR-FULL FEE REM",49373.0,0.0,5832.0,12736.0,67941.0,2017,"None","University of California",
"Not provided","GSR-TUIT &amp; FEE REM",40068.0,0.0,5983.0,21875.0,67926.0,2016,"None","University of California",
"Not provided","Gsr-Full Fee Rem",54392.0,0.0,0.0,13335.0,67727.0,2020,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",51021.0,0.0,8922.0,7778.0,67721.0,2023,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",49195.0,0.0,4570.0,13431.0,67196.0,2018,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",65839.0,0.0,0.0,0.0,65839.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",58851.0,0.0,0.0,6962.0,65813.0,2020,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",49871.0,0.0,22.0,15886.0,65779.0,2017,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",65460.0,0.0,0.0,0.0,65460.0,2022,"None","University of California",
"Not Provided","Gsr-No Rem",62824.0,0.0,0.0,2600.0,65424.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",53871.0,0.0,0.0,11234.0,65105.0,2023,"None","University of California",
"**** ****","Gsr-Partial Fee Rem",65012.0,0.0,0.0,0.0,65012.0,2021,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",64522.0,0.0,350.0,0.0,64872.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",60300.0,0.0,0.0,4439.0,64739.0,2020,"None","University of California",
"Not provided","Gsr-Full Fee Rem",53492.0,0.0,209.0,11017.0,64718.0,2019,"None","University of California",
"Not provided","Gsr-Tuit &amp; Fee Rem-Ucsd-Grp D",46857.0,0.0,4936.0,12540.0,64333.0,2019,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",60199.0,0.0,3907.0,0.0,64106.0,2022,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",63800.0,0.0,0.0,0.0,63800.0,2023,"None","University of California",
"Not provided","GSR-TUIT &amp; FEE REM",44652.0,0.0,2179.0,16967.0,63798.0,2017,"None","University of California",
"Not provided","GSR-NO REM",46181.0,0.0,1676.0,15728.0,63585.0,2015,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",53197.0,0.0,210.0,9859.0,63266.0,2019,"None","University of California",
"Not provided","Gsr-Full Fee Rem",55226.0,0.0,722.0,7028.0,62976.0,2019,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",47355.0,0.0,15541.0,0.0,62896.0,2023,"None","University of California",
"**** ****","Gsr-Partial Fee Rem",58161.0,0.0,0.0,4685.0,62846.0,2021,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",62528.0,0.0,0.0,0.0,62528.0,2023,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",47472.0,0.0,0.0,15043.0,62515.0,2019,"None","University of California",
"Not provided","Gsr-Full Fee Rem",41140.0,0.0,21281.0,0.0,62421.0,2020,"None","University of California",
"Not provided","Gsr-Full Fee Rem",57940.0,0.0,4400.0,0.0,62340.0,2020,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",57491.0,0.0,0.0,4599.0,62090.0,2022,"None","University of California",
"**** ****","Gsr-No Rem",59688.0,0.0,0.0,2362.0,62050.0,2021,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",59108.0,0.0,0.0,2748.0,61856.0,2022,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",46375.0,0.0,0.0,15244.0,61619.0,2017,"None","University of California",
"Not provided","GSR-PARTIAL FEE REM",46112.0,0.0,3133.0,12278.0,61523.0,2015,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",50478.0,0.0,6594.0,4436.0,61508.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",57827.0,0.0,0.0,3619.0,61446.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",47969.0,0.0,887.0,12430.0,61286.0,2019,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",34347.0,0.0,19420.0,7260.0,61027.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",60983.0,0.0,0.0,0.0,60983.0,2020,"None","University of California",
"Not provided","GSR-FULL FEE REM",50218.0,0.0,2352.0,8395.0,60965.0,2018,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",48038.0,0.0,7789.0,5132.0,60959.0,2020,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",56590.0,0.0,0.0,4185.0,60775.0,2022,"None","University of California",
"Not provided","GSR-TUIT &amp; FEE REM-UCSD-GRP D",40882.0,0.0,9440.0,10451.0,60773.0,2015,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",53253.0,0.0,0.0,7512.0,60765.0,2022,"None","University of California",
"Not provided","GSR-FULL FEE REM",45902.0,0.0,5592.0,9240.0,60734.0,2018,"None","University of California",
"Not Provided","Gsr-No Rem",56599.0,0.0,0.0,4120.0,60719.0,2023,"None","University of California",
"Not Provided","Gsr-Tuit &amp; Fee Rem",60578.0,0.0,0.0,0.0,60578.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",55909.0,0.0,0.0,4473.0,60382.0,2022,"None","University of California",
"Not provided","GSR-FULL FEE REM",48371.0,0.0,0.0,11946.0,60317.0,2018,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",60310.0,0.0,0.0,0.0,60310.0,2023,"None","University of California",
"Not provided","GSR-FULL FEE REM",47314.0,0.0,0.0,12958.0,60272.0,2018,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",60236.0,0.0,0.0,0.0,60236.0,2023,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",60231.0,0.0,0.0,0.0,60231.0,2022,"None","University of California",
"Not provided","Gsr-Full Fee Rem",55786.0,0.0,4400.0,0.0,60186.0,2019,"None","University of California",
"Not provided","GSR-FULL FEE REM",55335.53,0.0,4800.0,0.0,60135.53,2012,"None","University of California",
"Not provided","Gsr-Full Fee Rem",54508.0,0.0,0.0,5579.0,60087.0,2019,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",56072.0,0.0,3988.0,0.0,60060.0,2022,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54610.0,0.0,5400.0,0.0,60010.0,2023,"None","University of California",
"Not provided","Gsr-Full Fee Rem",56557.0,0.0,3300.0,0.0,59857.0,2019,"None","University of California",
"Not provided","GSR-FULL FEE REM",52384.0,0.0,0.0,7333.0,59717.0,2018,"None","University of California",
"Not provided","Gsr-Partial Fee Rem",43152.0,0.0,2091.0,14434.0,59677.0,2019,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",59652.0,0.0,0.0,0.0,59652.0,2023,"None","University of California",
"Not Provided","Gsr-Partial Fee Rem",18327.0,0.0,37839.0,3323.0,59489.0,2023,"None","University of California",
"Not provided","Gsr-No Rem",55821.0,0.0,0.0,3648.0,59469.0,2019,"None","University of California",
"Not Provided","Gsr-Full Fee Rem",54610.0,0.0,0.0,4790.0,59400.0,2023,"None","University of California",
