Employee Name, Job Title, Base Pay, Overtime Pay, Other Pay, Benefits, Total Pay & Benefits, Year, Notes, Agency, Status
"Not provided","Teachg Asst-Gship",92840.0,5396.0,2974.0,22204.0,123414.0,2019,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",82933.0,0.0,16108.0,19382.0,118423.0,2017,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",86824.0,0.0,5294.0,25465.0,117583.0,2018,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",83591.0,0.0,5787.0,15192.0,104570.0,2016,"None","University of California",
"Not provided","Teachg Asst-Gship/Non Rep",89737.0,0.0,8333.0,0.0,98070.0,2019,"None","University of California",
"Not provided","Teachg Asst-Gship",70721.0,0.0,9072.0,2157.0,81950.0,2020,"None","University of California",
"Not provided","Teachg Asst-Gship",66371.0,0.0,0.0,12344.0,78715.0,2020,"None","University of California",
"**** ****","Teachg Asst-Gship",57109.0,0.0,784.0,20465.0,78358.0,2021,"None","University of California",
"Not provided","Teachg Asst-1/10-Gship",57335.0,0.0,0.0,20687.0,78022.0,2020,"None","University of California",
"Not provided","Teachg Asst-Gship",47326.0,0.0,11504.0,18653.0,77483.0,2020,"None","University of California",
"Not provided","Teachg Asst-Gship/Non Rep",76491.0,36.0,0.0,0.0,76527.0,2019,"None","University of California",
"**** ****","Teachg Asst-Gship",50429.0,0.0,17295.0,5838.0,73562.0,2021,"None","University of California",
"Not Provided","Teachg Asst-Non Gship/Non Rep",58288.0,0.0,5169.0,9413.0,72870.0,2023,"None","University of California",
"Not provided","Teachg Asst-Gship",54967.0,0.0,8938.0,6423.0,70328.0,2020,"None","University of California",
"Not provided","Teachg Asst-Gship",59433.0,0.0,0.0,8746.0,68179.0,2019,"None","University of California",
"Not provided","Teachg Asst-Gship",50073.0,0.0,0.0,16265.0,66338.0,2019,"None","University of California",
"Not provided","Teachg Asst-Gship",46211.0,0.0,4985.0,14241.0,65437.0,2019,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",45192.0,750.0,6613.0,12026.0,64581.0,2018,"None","University of California",
"Not provided","Teachg Asst-Gship",41470.0,0.0,12714.0,7876.0,62060.0,2020,"None","University of California",
"Not Provided","Teachg Asst-Gship",48767.0,0.0,10620.0,2519.0,61906.0,2022,"None","University of California",
"Not Provided","Teachg Asst-Gship",53468.0,0.0,8193.0,0.0,61661.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",44457.0,3788.0,0.0,13115.0,61360.0,2017,"None","University of California",
"Not Provided","Teachg Asst-Gship",47162.0,0.0,13638.0,0.0,60800.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",40413.0,0.0,2066.0,17658.0,60137.0,2018,"None","University of California",
"Not provided","Teachg Asst-Gship",46617.0,0.0,8656.0,4075.0,59348.0,2019,"None","University of California",
"Not Provided","Teachg Asst-Gship",58048.0,0.0,0.0,864.0,58912.0,2022,"None","University of California",
"Not Provided","Teachg Asst-Gship",44089.0,0.0,0.0,14508.0,58597.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",33621.0,0.0,143.0,23693.0,57457.0,2018,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",43372.0,0.0,0.0,13600.0,56972.0,2016,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",37902.0,0.0,3266.0,15263.0,56431.0,2016,"None","University of California",
"Not Provided","Teachg Asst-Gship",38421.0,0.0,17923.0,0.0,56344.0,2023,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",45054.0,0.0,0.0,11132.0,56186.0,2015,"None","University of California",
"Not provided","Teachg Asst-Gship",41489.0,0.0,4718.0,9956.0,56163.0,2019,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",35962.0,0.0,11379.0,8812.0,56153.0,2014,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",35780.0,0.0,7292.0,11467.0,54539.0,2017,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",40384.0,175.0,2453.0,11428.0,54440.0,2014,"None","University of California",
"Not provided","Teachg Asst-Gship",46268.0,0.0,0.0,8131.0,54399.0,2020,"None","University of California",
"Not provided","Teachg Asst-Gship",49450.0,0.0,0.0,4912.0,54362.0,2019,"None","University of California",
"Not provided","Teachg Asst-Gship",39823.0,0.0,465.0,13787.0,54075.0,2019,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",53404.0,0.0,0.0,657.0,54061.0,2023,"None","University of California",
"**** ****","Teachg Asst-Gship",40699.0,0.0,4671.0,8392.0,53762.0,2021,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",35617.0,56.0,3553.0,14459.0,53685.0,2018,"None","University of California",
"Not provided","TEACHG ASST-GSHIP",42440.0,0.0,11057.0,0.0,53497.0,2018,"None","University of California",
"Not Provided","Teachg Asst-1/10-Gship",51601.0,0.0,0.0,1832.0,53433.0,2022,"None","University of California",
